name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_378.0.mata;0.01; 0.015727; 0.003417; 0.000951; 9.5e-05; 2.2e-05; false; 0.022493
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_379.0.mata;0.02; 0.022162; 0.005188; 0.001968; 0.000144; 7.2e-05; false; 0.032987
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_447.0.mata;0.01; 0.0145; 0.002481; 0.000658; 5.2e-05; 3.1e-05; false; 0.019444
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_470.0.mata;0.05; 0.041651; 0.007974; 0.001506; 0.000128; 8.6e-05; false; 0.056001
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_473.0.mata;0.05; 0.039812; 0.007286; 0.001567; 0.000113; 8.1e-05; false; 0.053515
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_497.0.mata;0.02; 0.022138; 0.003947; 0.001002; 9.8e-05; 6.2e-05; false; 0.02987
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_507.0.mata;0.03; 0.030517; 0.006229; 0.001033; 8.5e-05; 7.4e-05; false; 0.041785
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_527.0.mata;0.01; 0.009259; 0.002144; 0.001133; 8.7e-05; 5.3e-05; false; 0.01445
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_537.0.mata;0.02; 0.016492; 0.002545; 0.001162; 8.1e-05; 4.2e-05; false; 0.022432
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_573.0.mata;0.02; 0.015626; 0.002451; 0.001138; 8.5e-05; 4.3e-05; false; 0.021231
