name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_277.0.mata;0.1; 0.074764; 0.02892; 0.002089; 0.000592; 6.4e-05; 6e-06; false; 0.108785
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_357.0.mata;0.05; 0.045187; 0.012041; 0.000984; 0.000301; 3.9e-05; 5e-06; false; 0.05963
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_378.0.mata;0.09; 0.076119; 0.020373; 0.001585; 0.000502; 5.6e-05; 2.1e-05; false; 0.10045
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_379.0.mata;0.04; 0.043591; 0.012344; 0.000986; 0.000298; 3.8e-05; 5e-06; false; 0.058345
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_447.0.mata;0.05; 0.036765; 0.014088; 0.001237; 0.0002; 2.6e-05; 1.3e-05; false; 0.05403
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_470.0.mata;0.13; 0.115988; 0.030744; 0.002055; 0.000493; 6.4e-05; 2.8e-05; false; 0.151712
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_473.0.mata;0.06; 0.062065; 0.015402; 0.001205; 0.000265; 3.2e-05; 1.4e-05; false; 0.080243
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_497.0.mata;0.12; 0.107686; 0.024693; 0.00191; 0.000546; 6.6e-05; 2.5e-05; false; 0.136913
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_507.0.mata;0.09; 0.086083; 0.025336; 0.00154; 0.000307; 3.9e-05; 2e-05; false; 0.115273
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_527.0.mata;0.02; 0.021873; 0.0095; 0.00046; 0.000264; 5.9e-05; 1.2e-05; false; 0.03329
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_537.0.mata;0.03; 0.027435; 0.009905; 0.000499; 0.000218; 3.8e-05; 1e-05; false; 0.039204
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_573.0.mata;0.05; 0.043555; 0.013716; 0.000801; 0.00038; 3.1e-05; 1.6e-05; false; 0.060044
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_574.0.mata;0.03; 0.031071; 0.010426; 0.00056; 0.000223; 1.6e-05; 1e-05; false; 0.043272
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_575.0.mata;0.05; 0.046347; 0.014547; 0.000763; 0.000343; 3.6e-05; 1.6e-05; false; 0.063453
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_627.0.mata;0.05; 0.042894; 0.012923; 0.000987; 0.000306; 5.3e-05; 1.4e-05; false; 0.058422
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_637.0.mata;0.08; 0.067245; 0.01801; 0.001234; 0.000291; 3.6e-05; 1.7e-05; false; 0.088256
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_670.0.mata;0.07; 0.058674; 0.019639; 0.002361; 0.000656; 3.8e-05; 1.9e-05; false; 0.083939
