name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.58; 0.465331; 0.137422; 0.000594; false; 0.631131;0.97; 0.439375; 0.133189; 0.423763; 0.000543; false; 1.02418
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.72; 0.530631; 0.199313; 0.001389; false; 0.781115;1.29; 0.461999; 0.194953; 0.64249; 0.000736; false; 1.34617
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.29; 0.215022; 0.092459; 0.000938; false; 0.329482;1.03; 0.351686; 0.149401; 0.544727; 0.000545; false; 1.07916
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.55; 0.384123; 0.177143; 0.001673; false; 0.601918;0.67; 0.215545; 0.093994; 0.366683; 0.000355; false; 0.704223
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.5; 0.365014; 0.151648; 0.000877; false; 0.556089;0.72; 0.215615; 0.099378; 0.418623; 0.000543; false; 0.757875
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.36; 0.295702; 0.087869; 0.000851; false; 0.404079;1.07; 0.358993; 0.152259; 0.578096; 0.000864; false; 1.12342
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.48; 0.36096; 0.148706; 0.001673; false; 0.550817;0.65; 0.209641; 0.092356; 0.359859; 0.00043; false; 0.682514
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.49; 0.358712; 0.145506; 0.000932; false; 0.541023;0.68; 0.214524; 0.093157; 0.379873; 0.000637; false; 0.717579
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.49; 0.359584; 0.142736; 0.001135; false; 0.537206;0.99; 0.362442; 0.158338; 0.492731; 0.000419; false; 1.04778
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.28; 0.212972; 0.085726; 0.000909; false; 0.318166;1.02; 0.358677; 0.151149; 0.52999; 0.000563; false; 1.08051
