name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08116.mata;0.01; 0.003955; 0.003444; 0.000487; 7.4e-05; false; 0.011045;0.02; 0.00385; 0.010255; 0.003341; 0.000525; 5.6e-05; false; 0.02069
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08118.mata;0.22; 0.231528; 0.002237; 0.000145; 0.000106; false; 0.250015;0.56; 0.315803; 0.263939; 0.002982; 0.00023; 0.000224; false; 0.610968
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08130.mata;0.0; 0.001173; 0.000138; 2e-05; 1.2e-05; false; 0.001682;0.0; 0.001785; 0.001585; 0.00027; 2e-05; 1.7e-05; false; 0.004248
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08186.mata;0.53; 0.544906; 0.005799; 0.000181; 0.000101; false; 0.605146;0.55; 0.525294; 0.060274; 0.001862; 0.000135; 0.000172; false; 0.629793
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08189.mata;0.02; 0.009435; 0.010734; 0.000659; 3.4e-05; false; 0.023935;0.02; 0.008394; 0.004242; 0.010196; 0.000571; 3.9e-05; false; 0.026094
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08201.mata;0.08; 0.069838; 0.00966; 0.000415; 0.000115; false; 0.09042;0.11; 0.069543; 0.027757; 0.009738; 0.000474; 0.000128; false; 0.119511
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08207.mata;0.02; 0.026838; 0.001401; 6.9e-05; 5.3e-05; false; 0.032274;0.05; 0.027675; 0.02389; 0.001491; 6.7e-05; 8.9e-05; false; 0.057267
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08227.mata;0.05; 0.051308; 0.005736; 0.000277; 7.2e-05; false; 0.064503;0.08; 0.050014; 0.028721; 0.005613; 0.000303; 7.3e-05; false; 0.093194
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08252.mata;14.82; 14.7557; 0.330363; 0.0007; 0.000275; false; 16.3807;TO; 14.5736;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08289.mata;0.12; 0.101196; 0.006164; 0.000617; 0.000323; false; 0.127937;0.58; 0.100192; 0.503243; 0.006621; 0.000612; 0.000335; false; 0.629867
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08297.mata;0.01; 0.013723; 0.001188; 7.9e-05; 4.1e-05; false; 0.017754;0.05; 0.013873; 0.042055; 0.001344; 9.9e-05; 5.4e-05; false; 0.060372
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08347.mata;0.13; 0.035127; 0.081793; 0.003137; 0.000256; false; 0.133739;0.18; 0.035059; 0.050487; 0.080455; 0.002953; 0.000237; false; 0.183084
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08361.mata;0.01; 0.003679; 0.003172; 0.000512; 9.3e-05; false; 0.010719;0.01; 0.003591; 0.010514; 0.002868; 0.000469; 0.000277; false; 0.020308
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08416.mata;0.0; 0.003575; 0.003137; 0.000449; 8.5e-05; false; 0.010329;0.02; 0.003579; 0.010735; 0.002878; 0.000469; 5.4e-05; false; 0.020485
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08518.mata;0.01; 0.011178; 0.00184; 0.000167; 4.2e-05; false; 0.01567;0.02; 0.011247; 0.009078; 0.001951; 0.000147; 0.000114; false; 0.024809
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08521.mata;0.03; 0.02376; 0.003524; 0.000552; 6.5e-05; false; 0.036034;0.56; 0.023402; 0.55835; 0.00397; 0.000954; 0.000123; false; 0.595186
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08567.mata;0.03; 0.023836; 0.003689; 0.00065; 6.8e-05; false; 0.036322;0.57; 0.024033; 0.558782; 0.003608; 0.000671; 7.4e-05; false; 0.595998
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08588.mata;0.29; 0.302329; 0.003584; 0.000149; 0.00016; false; 0.33302;0.58; 0.319129; 0.270169; 0.002608; 0.00018; 0.0002; false; 0.629412
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08621.mata;0.0; 0.00226; 0.000814; 9.3e-05; 8.2e-05; false; 0.004228;0.0; 0.00226; 0.002155; 0.000875; 0.000108; 8e-05; false; 0.006396
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08650.mata;0.0; 0.001058; 0.001131; 0.000136; 4.7e-05; false; 0.003388;0.0; 0.000938; 0.001601; 0.001003; 0.000151; 9.6e-05; false; 0.004651
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08686.mata;0.01; 0.007108; 0.001082; 0.000114; 8.9e-05; false; 0.010142;0.01; 0.007066; 0.007527; 0.001242; 0.00012; 9.7e-05; false; 0.017837
