name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.06; 0.051739; 0.017127; 0.000124; 0.000119; 3.4e-05; false; 0.071924;0.03; 0.031129; 0.010125; 0.001862; 8.3e-05; 3.5e-05; 1.7e-05; false; 0.044857
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;0.64; 0.529698; 0.15124; 0.001892; 0.001515; 0.000379; false; 0.710247;0.97; 0.367768; 0.127504; 0.49375; 0.001462; 0.00064; 0.000129; false; 1.01273
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.05; 0.042563; 0.013883; 9.2e-05; 6.9e-05; 2.8e-05; false; 0.058624;0.09; 0.072913; 0.023602; 0.008916; 0.000192; 8.8e-05; 3.4e-05; false; 0.108779
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.06; 0.058069; 0.019967; 0.00012; 9.7e-05; 3.9e-05; false; 0.080829;0.13; 0.100924; 0.028682; 0.015145; 0.000308; 0.000128; 5.3e-05; false; 0.148891
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.11; 0.090901; 0.023022; 0.000148; 0.000166; 5.1e-05; false; 0.117539;0.1; 0.071638; 0.022584; 0.01507; 0.000184; 9.5e-05; 4.2e-05; false; 0.112509
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.17; 0.14171; 0.039571; 0.000475; 0.000311; 0.000101; false; 0.188456;0.14; 0.085446; 0.02925; 0.032877; 0.000429; 0.000179; 7.5e-05; false; 0.1535
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.12; 0.102213; 0.033429; 0.000202; 0.000202; 8.1e-05; false; 0.140213;0.16; 0.120638; 0.030827; 0.02976; 0.000337; 0.000149; 7e-05; false; 0.185763
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.27; 0.242812; 0.067959; 0.000468; 0.000285; 0.000113; false; 0.31855;0.28; 0.192458; 0.052094; 0.06081; 0.000561; 0.000256; 9.6e-05; false; 0.313137
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.15; 0.127993; 0.038118; 0.000265; 0.000362; 0.000103; false; 0.17323;0.22; 0.12906; 0.041318; 0.072361; 0.000627; 0.000261; 0.00011; false; 0.249586
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.03; 0.024549; 0.01089; 6.5e-05; 5e-05; 1.6e-05; false; 0.037487;0.01; 0.01418; 0.007262; 0.000584; 5.4e-05; 2.1e-05; 1e-05; false; 0.023576
