name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;1.43; 0.278185; 0.0968408; 0.910357; 0.307708; 0.000341022; false;1.39; 0.304852; 0.0566294; 0.908273; 0.30107; 0.000147663; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;1.7; 0.322343; 0.0946781; 1.11577; 0.338285; 0.000420614; false;1.57; 0.315021; 0.0592302; 1.04945; 0.32758; 0.00031348; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.07; 0.0494906; 0.0127034; 0.0111165; 0.00509058; 1.325e-06; true;0.04; 0.031212; 0.00995686; 0.0065703; 0.00354374; 1.446e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;1.88; 0.315008; 0.102233; 1.25085; 0.413653; 1.409e-06; true;1.83; 0.324845; 0.0658132; 1.22123; 0.422073; 2.283e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.1; 0.0713536; 0.0159639; 0.0162279; 0.0079747; 1.324e-06; true;0.08; 0.0494168; 0.0132922; 0.0181046; 0.00733304; 1.641e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.13; 0.0783971; 0.020191; 0.0310816; 0.0179795; 2.179e-06; true;0.12; 0.08064; 0.0170653; 0.0305307; 0.013096; 1.16e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.15; 0.0787679; 0.0269645; 0.047151; 0.0238346; 1.984e-06; true;0.15; 0.0784349; 0.0194803; 0.0470765; 0.0233311; 1.576e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.21; 0.0931808; 0.0315996; 0.0742452; 0.0314058; 1.882e-06; true;0.22; 0.115647; 0.0213942; 0.0764399; 0.0320942; 1.303e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.3; 0.108078; 0.0447319; 0.107958; 0.0728211; 2.024e-06; true;0.3; 0.110503; 0.0291971; 0.112343; 0.0723816; 2.171e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.38; 0.157627; 0.0482366; 0.143353; 0.0717576; 1.405e-06; true;0.37; 0.15466; 0.035268; 0.144821; 0.0740736; 1.944e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.44; 0.141582; 0.064813; 0.191937; 0.0907739; 1.778e-06; true;0.43; 0.151615; 0.0462519; 0.191361; 0.0897861; 1.486e-06; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.02; 0.0147992; 0.00732886; 0.00129518; 0.000477741; 7.56e-07; true;0.03; 0.0271746; 0.00698241; 0.0013019; 0.000493171; 6.75e-07; true
